bin,fasta,library_id,CenterName,body_site,
SAMN11269914_refinement_out_metawrap_50_10_bins_bin.2,SAMN11269914_refinement_out_metawrap_50_10_bins_bin.2.fa,CH1105_day_30,MA,stool,
SAMN11269929_refinement_out_metawrap_50_10_bins_bin.5,SAMN11269929_refinement_out_metawrap_50_10_bins_bin.5.fa,CH1105_day_60,MA,stool,
SAMN11269886_refinement_out_metawrap_50_10_bins_bin.1,SAMN11269886_refinement_out_metawrap_50_10_bins_bin.1.fa,CH1108_day_0,MA,stool,
SAMN11269910_refinement_out_metawrap_50_10_bins_bin.3,SAMN11269910_refinement_out_metawrap_50_10_bins_bin.3.fa,CH1108_day_30,MA,stool,
SAMN11269965_refinement_out_metawrap_50_10_bins_bin.4,SAMN11269965_refinement_out_metawrap_50_10_bins_bin.4.fa,CH1111_day_60,MA,stool,
SAMN11269931_refinement_out_metawrap_50_10_bins_bin.2,SAMN11269931_refinement_out_metawrap_50_10_bins_bin.2.fa,CH1114_day_30,MA,stool,
SAMN11269958_refinement_out_metawrap_50_10_bins_bin.2,SAMN11269958_refinement_out_metawrap_50_10_bins_bin.2.fa,CH1114_day_60,MA,stool,
SAMN11269945_refinement_out_metawrap_50_10_bins_bin.5,SAMN11269945_refinement_out_metawrap_50_10_bins_bin.5.fa,CH1114_day_90,MA,stool,
SAMN11269895_refinement_out_metawrap_50_10_bins_bin.4,SAMN11269895_refinement_out_metawrap_50_10_bins_bin.4.fa,CH1115_day_0,MA,stool,
SAMN11269903_refinement_out_metawrap_50_10_bins_bin.1,SAMN11269903_refinement_out_metawrap_50_10_bins_bin.1.fa,CH1118_day_30,MA,stool,
SAMN11269956_refinement_out_metawrap_50_10_bins_bin.3,SAMN11269956_refinement_out_metawrap_50_10_bins_bin.3.fa,CH1118_day_60,MA,stool,
SAMN11269957_refinement_out_metawrap_50_10_bins_bin.1,SAMN11269957_refinement_out_metawrap_50_10_bins_bin.1.fa,CH1118_day_90,MA,stool,
SAMN11270009_refinement_out_metawrap_50_10_bins_bin.2,SAMN11270009_refinement_out_metawrap_50_10_bins_bin.2.fa,CH1126_day_0,MA,stool,
SAMN11269996_refinement_out_metawrap_50_10_bins_bin.3,SAMN11269996_refinement_out_metawrap_50_10_bins_bin.3.fa,CH1137_day_0,MA,stool,
SAMN11269992_refinement_out_metawrap_50_10_bins_bin.2,SAMN11269992_refinement_out_metawrap_50_10_bins_bin.2.fa,CH1140_day_7,MA,stool,
SAMN11270008_refinement_out_metawrap_50_10_bins_bin.1,SAMN11270008_refinement_out_metawrap_50_10_bins_bin.1.fa,CH1167_day_0,MA,stool,
SAMN11269754_refinement_out_metawrap_50_10_bins_bin.2,SAMN11269754_refinement_out_metawrap_50_10_bins_bin.2.fa,CH3004_day_18,MA,stool,
